OBJECTID,CAPTURE_ACCURACY,EQUIPMENT,DESCRIPTION,STATUS,OBJECT_TYPE_DESCRIPTION,Shape__Length,GlobalID
733,6,100045081,Maungatua Summit Track,OPEN,Route,5555.52033368177,c145097a-c0b8-4e57-b42c-eb88f5eb7a48
734,6,100045082,Careys Creek Track,OPEN,Tramping Track,8806.93343387861,b39c9849-04b3-4cd6-b44f-685b2eaa31ad
735,6,100045083,Black Gully Dam Track,OPEN,Tramping Track,415.519919580642,0f857731-fd71-42e9-90b3-b59962a8c504
736,2,100045085,Silverpeaks Swampy Ridge Track NZWalkway,OPEN,Route,3819.64063576447,f9f2bec3-da50-4e0c-8786-41bd09cce97f
737,6,100045086,EAST-WEST -Mangatutara Hut to Oronui hut,OPEN,Route,12209.2942698967,9dafbf21-9205-4142-97f0-36357a392590
738,5,100045087,Maitai Bay Headland Track,OPEN,Tramping Track,1653.25890250132,8310bbeb-0a7f-4088-8b23-a89d4c5c0656
739,5,100045088,MONKEY ISLAND VIEWPOINT,OPEN,Walking Track,74.729705732655,a67e7559-ba13-4fee-a2f3-9cf0a2817c7f
740,2,100045089,TRACK - FUCHSIA WALK,OPEN,Walking Track,220.05395258116,2bfadaa7-a4de-44a0-93e0-4fc9f371505f
741,2,100045090,TRACK - RAROA WALK,OPEN,Walking Track,515.882791674895,714cc067-e04f-4c51-b2c6-b92240363b60
742,2,100045091,TRACK - RINGARINGA-WOHLERS POINT WALK,OPEN,Walking Track,159.574778969235,f4b8f39a-ad17-4d16-aa45-9a070a35f0e6
743,5,100045093,TE ANAU LAKESIDE WALK - YACHT CLUB TO WI,OPEN,Walking Track,741.214238978547,01b47444-414f-4d3e-b9e9-2855fff04ecb
744,2,100045096,PIWAKAWAKA TRACK,OPEN,Walking Track,2174.66888601791,a6afe6a1-88eb-44a1-a23f-2beda3addbc4
745,2,100045097,KAPUNI LOOP TK,OPEN,Walking Track,1241.88545019223,373c31dd-6d52-44c4-b023-3774f1a02d8f
746,2,100045100,"Pudding Hill Stm Route, Mt Hutt Forest",OPEN,Route,7659.79849316557,d017f2fe-b0d1-4cb0-b928-4f31f6420d75
